100640425
tensor(0.3969, device='cuda:0')
tensor(0.2524, device='cuda:0')
tensor(0.2736, device='cuda:0')
tensor(0.5596, device='cuda:0')
tensor(0.4871, device='cuda:0')
tensor(0.7125, device='cuda:0')
tensor(0.4201, device='cuda:0')
tensor(0.8679, device='cuda:0')
tensor(0.4009, device='cuda:0')
tensor(0.4375, device='cuda:0')
tensor(0.5151, device='cuda:0')
tensor(0.3526, device='cuda:0')
tensor(0.6723, device='cuda:0')
tensor(0.3375, device='cuda:0')
tensor(0.2642, device='cuda:0')
tensor(0.2629, device='cuda:0')
tensor(0.7761, device='cuda:0')
tensor(0.3327, device='cuda:0')
tensor(0.3765, device='cuda:0')
tensor(0.4031, device='cuda:0')
tensor(0.3681, device='cuda:0')
tensor(0.4595, device='cuda:0')
tensor(0.4118, device='cuda:0')
tensor(0.4131, device='cuda:0')
tensor(0.2628, device='cuda:0')
tensor(0.3224, device='cuda:0')
tensor(0.4765, device='cuda:0')
tensor(0.6230, device='cuda:0')
tensor(0.4409, device='cuda:0')
tensor(0.4420, device='cuda:0')
tensor(0.8968, device='cuda:0')
tensor(0.5878, device='cuda:0')
tensor(0.5656, device='cuda:0')
tensor(0.6400, device='cuda:0')
tensor(0.2957, device='cuda:0')
tensor(0.4791, device='cuda:0')
tensor(0.2722, device='cuda:0')
tensor(0.3905, device='cuda:0')
tensor(0.4801, device='cuda:0')
tensor(0.4812, device='cuda:0')
tensor(0.5148, device='cuda:0')
tensor(0.4508, device='cuda:0')
tensor(0.2042, device='cuda:0')
tensor(0.5205, device='cuda:0')
tensor(0.5095, device='cuda:0')
tensor(0.8151, device='cuda:0')
tensor(0.5238, device='cuda:0')
tensor(0.7301, device='cuda:0')
tensor(0.3363, device='cuda:0')
tensor(0.2953, device='cuda:0')
tensor(0.2646, device='cuda:0')
tensor(0.5163, device='cuda:0')
tensor(0.5660, device='cuda:0')
tensor(0.4281, device='cuda:0')
tensor(0.4814, device='cuda:0')
tensor(0.4561, device='cuda:0')
tensor(0.3255, device='cuda:0')
tensor(0.4258, device='cuda:0')
tensor(0.4684, device='cuda:0')
tensor(0.5123, device='cuda:0')
tensor(0.3909, device='cuda:0')
tensor(0.8009, device='cuda:0')
tensor(0.2626, device='cuda:0')
tensor(0.3082, device='cuda:0')
tensor(0.5363, device='cuda:0')
tensor(0.5771, device='cuda:0')
tensor(0.4514, device='cuda:0')
tensor(0.4317, device='cuda:0')
tensor(0.3045, device='cuda:0')
tensor(0.3229, device='cuda:0')
tensor(0.3868, device='cuda:0')
tensor(0.4524, device='cuda:0')
tensor(0.4758, device='cuda:0')
tensor(0.6601, device='cuda:0')
tensor(0.3970, device='cuda:0')
tensor(0.5307, device='cuda:0')
tensor(0.4309, device='cuda:0')
tensor(0.3133, device='cuda:0')
tensor(0.4153, device='cuda:0')
tensor(0.3751, device='cuda:0')
tensor(0.3519, device='cuda:0')
tensor(0.5690, device='cuda:0')
tensor(0.2862, device='cuda:0')
tensor(0.6551, device='cuda:0')
tensor(0.5973, device='cuda:0')
tensor(0.3122, device='cuda:0')
tensor(0.3506, device='cuda:0')
tensor(0.3030, device='cuda:0')
tensor(0.4277, device='cuda:0')
tensor(0.3454, device='cuda:0')
tensor(0.6717, device='cuda:0')
tensor(1.9583, device='cuda:0')
tensor(0.5020, device='cuda:0')
tensor(0.4204, device='cuda:0')
tensor(0.4961, device='cuda:0')
tensor(0.3677, device='cuda:0')
tensor(0.3108, device='cuda:0')
